"employee_number","number_of_hours","reasons","withpay","dateleave"
"employee1548","9","DYSMENORRHEA",True,"2018-10-25"
"employee975","9","Family matters",True,"2018-11-04"
"employee3114","9","Vacation Leave",True,"2018-11-07"
"employee3114","9","Vacation Leave",True,"2018-11-08"
"employee1837","9","Dysmenorrhea",True,"2018-10-25"
"employee2164","9","S/L due to headache",True,"2018-10-22"
"employee2084","9","Avail Holiday",False,"2018-11-01"
"employee2084","9","Avail Holiday",False,"2018-11-02"
"employee1735","9","acute conjunctivitis, right eye",True,"2018-10-18"
"employee1735","9","acute conjunctivitis, right eye",True,"2018-10-19"
"employee1735","9","acute conjunctivitis, right eye",True,"2018-10-22"
"employee1735","9","acute conjunctivitis, right eye",True,"2018-10-23"
"employee1735","9","acute conjunctivitis, right eye",True,"2018-10-24"
"employee1735","9","AVAIL HOLIDAY",False,"2018-11-01"
"employee1735","9","AVAIL HOLIDAY",False,"2018-11-02"
"employee1462","9","Due to colds fever ref#1810571",True,"2018-10-18"
"employee587","4.5","severe headache due to toothache.",True,"2018-10-26"
"employee1604","9","DUE TO HEADACHE.",True,"2018-10-17"
"employee2081","9","EL due to sick daughter",False,"2018-10-18"
"employee2081","9","EL due to sick daughter",False,"2018-10-19"
"employee2081","9","sick leave due to heartburn 
ref# 1810700",False,"2018-10-22"
"employee3112","9","observe holiday leave",False,"2018-11-01"
"employee1627","9","E/L DUE FAMILY EMERGENCY",True,"2018-10-27"
"employee3035","9","ref#1810843",True,"2018-10-27"
"employee3071","9","BODY PAIN
REF#1810797",True,"2018-10-25"
"employee213","9","ABDOMINAL PAIN REF # 1810813",True,"2018-10-26"
"employee949","9","company leave",True,"2018-10-30"
"employee1544","9","EL DUE FAMILY MATTERS",False,"2018-10-22"
"employee1544","9","EL DUE FAMILY MATTERS",False,"2018-10-26"
"employee460","9","LBM
REF #: 1810819",True,"2018-10-26"
"employee631","9","EL DUE VEHICLE INCIDENT",True,"2018-10-22"
"employee593","9","v/l body rplacement mr.ronie obog nov 16-17 2018",True,"2018-11-16"
"employee593","9","v/l body rplacement mr.ronie obog nov 16-17 2018",True,"2018-11-17"
"employee655","9","vacation leave",False,"2018-10-26"
"employee650","9","BODYPAIN",True,"2018-10-23"
"employee650","9","BODYPAIN",True,"2018-10-24"
"employee629","9","VACATION LEAVE BR: D.ESTOLOGA",True,"2018-10-24"
"employee1701","9","vacation leave
chris mabilangan",True,"2018-11-07"
"employee1701","9","vacation leave
chris mabilangan",True,"2018-11-08"
"employee1701","9","vacation leave
chris mabilangan",True,"2018-11-09"
"employee656","9","sick leave due acute gout arthritis.",True,"2018-10-21"
"employee656","9","sick leave due acute gout arthritis.",True,"2018-10-22"
"employee656","4.5","sick leave due acute gout arthritis.",True,"2018-10-23"
"employee656","4.5","sick leave due acute gout arthritis.",False,"2018-10-23"
"employee656","9","sick leave due acute gout arthritis.",False,"2018-10-24"
"employee630","9","ARTHRITIS RIGHT FOOT",True,"2018-10-25"
"employee80","9","DUE TO BODY PAIN AND DYSMENORRHEA",True,"2018-10-25"
"employee80","9","DUE TO BODY PAIN AND DYSMENORRHEA",True,"2018-10-26"
"employee61","9","VACATION LEAVE BR - AJ SANTOS",True,"2018-10-29"
"employee70","9","EL DUE MY CAR BROKE DOWN ONMY WAY TO THE OFFC.",True,"2018-10-23"
"employee109","9","MR. JEDEL ESPINOSA FOR BODY REPLACEMENT",True,"2018-10-31"
"employee649","9","V/L=ADVSD SAMAR WL EXTND N TUE, BONDOC
N WED/THUR",True,"2018-10-30"
"employee649","9","V/L=ADVSD SAMAR WL EXTND N TUE, BONDOC
N WED/THUR",True,"2018-10-31"
"employee649","9","HOLIDAY LEAVE / J. BONDOC DULY ADVSED
WL EXTND",False,"2018-11-01"
"employee649","9","V/L=ADVSD SAMAR WL EXTND N TUE, BONDOC
N WED/THUR",True,"2018-11-04"
"employee665","9","DUE TO HIGH BLOOD SEE ATTACHED MED CERT",False,"2018-10-20"
"employee661","9","FEVER AND MIGRAINE",False,"2018-10-20"
"employee701","9","fever",True,"2018-10-20"
"employee703","9","DUE TO ATTEND WEDDING OF MY COUSIN (BR: G.OCAVA)",True,"2018-12-08"
"employee471","9","scheduled PT,  REF. NO. 1810890",True,"2018-10-29"
"employee471","9","observe holiday",False,"2018-11-02"
"employee752","9","Observe holiday",False,"2018-11-01"
"employee752","9","Observe holiday",False,"2018-11-02"
"employee733","9","due to my father weak condition and check up",False,"2018-10-29"
"employee765","9","toothache,,,ref,,1810842",False,"2018-10-27"
"employee432","9","PARTIAL LEAVE BR. A. SIMEON",True,"2018-11-03"
"employee1548","9","B/R MR.DAVE ESTOLOGA",True,"2018-11-11"
"employee1411","4.5","personal matter",True,"2018-10-31"
"employee1067","9","FEVER",False,"2018-10-26"
"employee1067","9","FEVER",False,"2018-10-27"
"employee246","9","VACATION LEAVE WITH OUT PAY",False,"2018-10-30"
"employee246","9","VACATION LEAVE WITH OUT PAY",False,"2018-10-31"
"employee467","9","Personal Matter",False,"2018-11-02"
"employee1502","9","Personal Matter",True,"2018-11-16"
"employee1502","9","Personal Matter",True,"2018-11-17"
"employee1502","9","Personal Matter",True,"2018-11-18"
"employee1502","9","Personal Matter",True,"2018-11-19"
"employee1502","9","Personal Matter",True,"2018-11-20"
"employee1502","9","Personal Matter",True,"2018-11-23"
"employee2258","9","back pain",True,"2018-10-28"
"employee2267","9","VACATION LEAVE",True,"2018-10-30"
"employee2267","9","vacation leave",True,"2018-11-03"
"employee2267","9","vacation leave",True,"2018-11-09"
"employee2267","9","vacation leave",True,"2018-11-10"
"employee2267","9","vacation leave",True,"2018-11-23"
"employee2267","9","vacation leave",True,"2018-11-24"
"employee2267","9","VACATION LEAVE",True,"2018-12-01"
"employee434","9","leave without pay will process important document",False,"2018-10-31"
"employee2239","9","VACATION LEAVE",True,"2018-10-31"
"employee1059","9","HEADACHE",True,"2018-10-26"
"employee464","4.5","half day leave important matters",True,"2018-10-28"
"employee1407","9","fevercough",True,"2018-10-26"
"employee515","9","Vacation",True,"2018-10-26"
"employee505","9","BODY PAIN",True,"2018-10-26"
"employee827","9","settle important family matter",False,"2018-10-29"
"employee2050","9","partial vacation leave",False,"2018-11-03"
"employee2050","9","partial vacation leave",False,"2018-11-10"
"employee2140","9","Attachment submitted to rsd ofc",False,"2018-10-22"
"employee2140","9","Attachment submitted to rsd ofc",False,"2018-10-23"
"employee2140","9","Attachment submitted to rsd ofc",False,"2018-10-24"
"employee2140","9","Wd attachment ref # 1810786",True,"2018-10-25"
"employee2140","9","Wd attachment ref # 1810786",True,"2018-10-26"
"employee1510","9","ACCOMPANY MY WIFE TO THE CLINIC FOR CHECK UP.",False,"2018-10-27"
"employee950","9","t/c osteoarthritis",True,"2018-10-27"
"employee950","9","vacation leave",False,"2018-11-04"
"employee1051","9","BIRTHDAY LEAVE AND TO RENEW MY DRIVERS LICENSE",False,"2018-11-07"
"employee1051","9","BIRTHDAY LEAVE AND TO RENEW MY DRIVERS LICENSE",False,"2018-11-08"
"employee1026","9","FAMILY MATTER",False,"2018-11-01"
"employee1026","9","FAMILY MATTER",False,"2018-11-02"
"employee1104","9","HOLIDAY LEAVE",False,"2018-11-02"
"employee463","9","VL",True,"2018-11-03"
"employee463","9","VL",True,"2018-11-10"
"employee463","9","VL",True,"2018-11-17"
"employee463","9","VL",True,"2018-11-24"
"employee2251","9","1st tear death anniversary of my grandfather",True,"2018-10-28"
"employee544","9","due to muscle pain.",True,"2018-10-29"
"employee1726","9","family matter",True,"2018-12-04"
"employee1726","9","family matters",True,"2018-12-05"
"employee1726","9","family matters",True,"2018-12-06"
"employee1726","9","family matters",True,"2018-12-07"
"employee1726","9","family matters",True,"2018-12-10"
"employee1726","9","family matters",True,"2018-12-11"
"employee1726","9","family matters",True,"2018-12-12"
"employee761","9","observe holiday",False,"2018-11-01"
"employee3219","9","body pain",True,"2018-10-26"
"employee1612","9","stomach ache",True,"2018-10-29"
"employee3148","4.5","BODY MALAISE",True,"2018-10-28"
"employee3148","4.5","BODY MALAISE",False,"2018-10-28"
"employee209","9","vacation leave",True,"2018-10-31"
"employee209","9","avail holiday",False,"2018-11-01"
"employee209","9","avail holiday",False,"2018-11-02"
"employee209","4.5","vacation leave",True,"2018-11-05"
"employee209","4.5","vacation leave",False,"2018-11-05"
"employee1518","9","OUT OF TOWN",True,"2018-11-22"
"employee1518","9","OUT OF TOWN",True,"2018-11-23"
"employee1579","9","HOLIDAY LEAVE",False,"2018-11-01"
"employee1579","9","HOLIDAY LEAVE",False,"2018-11-02"
"employee547","9","Emergency due to Family Matters",False,"2018-10-28"
"employee1590","9","PARTIAL LEAVE: DAYOFF DUTY MR.M.REDILLA",True,"2018-11-16"
"employee1590","9","PARTIAL LEAVE: DAYOFF DUTY G.OROPESA",True,"2018-11-17"
"employee1590","9","PARTIAL LEAVE: DAYOFF DUTY G.OROPESA",True,"2018-11-18"
"employee1590","9","PARTIAL LEAVE: DAYOFF DUTY F.CHAN",True,"2018-11-19"
"employee1784","9","VACATION LEAVE BR: J. CABRERA",True,"2018-10-31"
"employee2117","9","EL due to migraine as per supervisor Mr Vic M.",False,"2018-10-28"
"employee1556","9","FAMILY REUNION (BR: JERIC PADA)",True,"2018-10-31"
"employee2175","9","To visit my parents in Province",False,"2018-10-31"
"employee2834","9","SL",True,"2018-10-28"
"employee3185","9","body pain",True,"2018-10-31"
"employee2102","9","OBSERVED HOLIDAY",False,"2018-11-01"
"employee2102","9","OBSERVED HOLIDAY",False,"2018-11-02"
"employee690","9","observe holiday family reunion at the privince",False,"2018-11-01"
"employee690","9","observe holiday family reunion at the privince",False,"2018-11-02"
"employee2503","9","Accompanied my wife to the clinic",False,"2018-10-26"
"employee2503","9","paternity leave",False,"2018-10-29"
"employee2503","9","paternity leave",False,"2018-10-30"
"employee2503","9","paternity leave",False,"2018-10-31"
"employee2503","9","Observed Holiday",False,"2018-11-01"
"employee2503","9","Observed Holiday",False,"2018-11-02"
"employee770","9","Observed Holiday",False,"2018-11-02"
"employee1093","9","fever",True,"2018-10-26"
"employee1668","9","Family reunion",True,"2018-11-09"
"employee1668","9","Family reunion",True,"2018-11-12"
"employee1158","4.5","No bus Were available in our province",False,"2018-10-24"
"employee1610","9","PERSONAL MATTER",True,"2018-11-18"
"employee1610","9","PERSONAL MATTER",True,"2018-11-19"
"employee1610","9","PERSONAL MATTER",True,"2018-11-20"
"employee1610","9","PERSONAL MATTER",True,"2018-11-21"
"employee1610","9","PERSONAL MATTER",True,"2018-11-22"
"employee513","9","Sick leave - Dizziness",True,"2018-10-29"
"employee63","4.5","send off my mother to airport",False,"2018-10-30"
"employee142","9","swelling feet",True,"2018-10-26"
"employee2539","9","water interruption",False,"2018-10-25"
"employee101","9","VACATION IN SINGAPORE WITH CONFIRMED PLANE TICKET",True,"2018-11-16"
"employee736","9","Trigger finger left ring",True,"2018-10-29"
"employee2568","9","FAMILY MATTER WITH EXPLANATION LETTER",False,"2018-10-22"
"employee136","9","EL due attended my sons family day activity",True,"2018-10-17"
"employee136","9","SL DUE ACUTE BRONCHITIS",True,"2018-10-23"
"employee136","9","SL DUE ACUTE BRONCHITIS",True,"2018-10-24"
"employee136","9","SL DUE ACUTE BRONCHITIS",True,"2018-10-25"
"employee136","9","SL DUE ACUTE BRONCHITIS",True,"2018-10-26"
"employee2358","9","due to no available transportation at that time",False,"2018-10-18"
"employee2776","9","emergency leave",False,"2018-10-24"
"employee3088","9","PERIAPICAL XRAY/TEMPORARY FILLNG UNDER OBSERVATION",False,"2018-10-21"
"employee766","9","E.L DUE NEED TO ACCOMPANY MY UNCLE FOR THERAPHY",False,"2018-10-24"
"employee2788","9","TRANSPORTATION",False,"2018-10-27"
"employee32","9","FEVER, COLDS
CLEARED BY SKYCLINIC 
REF# 1810766",True,"2018-10-25"
"employee2226","9","E/L DUE NO ONE WILL TAKE CARE OF MY KIDS",False,"2018-10-29"
"employee1879","9","PERSONAL MATTER AND TAKING CARE OF MY SON",False,"2018-10-21"
"employee1879","9","PERSONAL MATTER AND TAKING CARE OF MY SON",False,"2018-10-22"
"employee1879","9","PERSONAL MATTER AND TAKING CARE OF MY SON",False,"2018-10-23"
"employee1879","9","taking care of my son",False,"2018-10-28"
"employee100","9","SICKLEAVE DUE HEADACHE WITH MED CERT",True,"2018-10-28"
"employee100","4.5","SICKLEAVE DUE HEADACHE WITH MED CERT",True,"2018-10-29"
"employee100","4.5","SICKLEAVE DUE HEADACHE WITH MED CERT",False,"2018-10-29"
"employee145","9","ACUTE GASTROENTERITIS
wth clearance",True,"2018-10-19"
"employee145","9","ACUTE GASTROENTERITIS
wth clearance",True,"2018-10-20"
"employee145","9","ACUTE GASTROENTERITIS
wth clearance",True,"2018-10-21"
"employee148","9","I rushed my brother to ICU to to stroke",True,"2018-10-24"
"employee1945","9","VACATION",True,"2018-11-12"
"employee1945","9","VACATION",True,"2018-11-13"
"employee1945","9","VACATION",True,"2018-11-14"
"employee1951","9","Brother Hospitalization (appendectomy)",True,"2018-10-23"
"employee1951","9","Brother Hospitalization (appendectomy)",True,"2018-10-24"
"employee1951","9","Brother Hospitalization (appendectomy)",False,"2018-10-25"
"employee1721","9","accompanied my mother to her check up w letter",True,"2018-10-29"
"employee2614","9","FLU/BODY/NECK-PAIN   WITH MEDCERT",False,"2018-10-27"
"employee769","9","AVAILMENT OF VACATION LEAVE.",True,"2018-11-22"
"employee769","9","AVAILMENT OF VACATION LEAVE.",True,"2018-11-23"
"employee769","9","AVAILMENT OF VACATION LEAVE.",True,"2018-11-24"
"employee2575","9","DUE FEVER W/ MED CERT AND CLEARANCE",False,"2018-10-23"
"employee2575","9","DUE FEVER W/ MED CERT AND CLEARANCE",False,"2018-10-24"
"employee1606","9","syncope and vertigo w/mdcert apprvd by skyclinc dr",True,"2018-10-16"
"employee1606","4.5","syncope and vertigo w/mdcert apprvd by skyclinc dr",True,"2018-10-19"
"employee1606","4.5","syncope and vertigo w/mdcert apprvd by skyclinc dr",False,"2018-10-19"
"employee1606","9","syncope and vertigo w/mdcert apprvd by skyclinc dr",False,"2018-10-20"
"employee1606","9","syncope and vertigo w/mdcert apprvd by skyclinc dr",False,"2018-10-21"
"employee1606","9","syncope and vertigo w/mdcert apprvd by skyclinc dr",False,"2018-10-22"
"employee1606","9","syncope and vertigo w/mdcert apprvd by skyclinc dr",False,"2018-10-23"
"employee2567","9","SOFT TISSUE INJURY, ANKLE SPRAIN.",False,"2018-10-16"
"employee2567","9","SOFT TISSUE INJURY, ANKLE SPRAIN",False,"2018-10-19"
"employee2567","9","SOFT TISSUE INJURY, ANKLE SPRAIN",False,"2018-10-20"
"employee2567","9","SOFT TISSUE INJURY, ANKLE SPRAIN",False,"2018-10-21"
"employee2567","9","SOFT TISSUE INJURY, ANKLE SPRAIN",False,"2018-10-22"
"employee2567","9","SOFT TISSUE INJURY, ANKLE SPRAIN",False,"2018-10-23"
"employee178","9","sl due back  pain and cough",True,"2018-10-19"
"employee178","9","personal matter",False,"2018-10-26"
"employee178","9","personal matter",False,"2018-10-27"
"employee2225","9","family matter",False,"2018-10-27"
"employee2225","9","family matter",False,"2018-10-28"
"employee1817","9","LOWER ABDOMINAL PAIN",False,"2018-10-18"
"employee2702","9","DENTAL SENSITIVITY MED CERT PRESENTED",False,"2018-10-21"
"employee2702","9","DENTAL SENSITIVITY MED CERT PRESENTED",False,"2018-10-22"
"employee2591","9","due health issue of my grandmother",False,"2018-10-21"
"employee803","9","S/L DUE KNEE PROBLEM SEE ATTACHED",True,"2018-10-23"
"employee803","9","S/L DUE KNEE PROBLEM SEE ATTACHED",True,"2018-10-24"
"employee803","9","sickleave due gout arthritis",True,"2018-10-26"
"employee3239","9","SICK LEAVE DUE FEVER",True,"2018-10-21"
"employee3239","9","SICK LEAVE DUE FEVER",True,"2018-10-22"
"employee2734","9","went home to take care of my sick grandfather",False,"2018-10-24"
"employee221","9","To pay respect to my deceased relatives.",True,"2018-10-30"
"employee179","9","VACATION",True,"2018-11-12"
"employee179","9","VACATION",True,"2018-11-13"
"employee179","9","VACATION",True,"2018-11-14"
"employee179","9","VACATION",True,"2018-11-15"
"employee179","9","VACATION",True,"2018-11-18"
"employee2606","9","IMPORTANT DOCUMENTS(FAMILY MATTERS)",False,"2018-10-26"
"employee2496","9","FAMILY MATTER",False,"2018-10-26"
"employee2496","9","FAMILY MATTER",False,"2018-10-27"
"employee2496","9","MEET IMPORTANT PERSON",False,"2018-10-29"
"employee174","9","TOOK CARE OF MY DAUGHTER",True,"2018-10-25"
"employee174","9","TOOK CARE OF MY DAUGHTER",True,"2018-10-27"
"employee3011","9","SICK LEAVE - DIZZY AND HEADACHE",False,"2018-10-22"
"employee3011","9","EMERGENCY LEAVE - PERSONAL PROBLEM",False,"2018-10-27"
"employee3011","9","EMERGENCY LEAVE - PERSONAL PROBLEM",False,"2018-10-28"
"employee3064","9","HEADACHE AND HYPERTENSION STAGE 2 (WITH CHEST PAIN",True,"2018-10-24"
"employee3064","9","HEADACHE AND HYPERTENSION STAGE 2 (WITH CHEST PAIN",True,"2018-10-25"
"employee3064","9","HEADACHE AND HYPERTENSION STAGE 2 (WITH CHEST PAIN",True,"2018-10-26"
"employee2644","9","2 DAYS SICK LEAVE DUE TO INFLUENZA.",False,"2018-10-21"
"employee2644","9","2 DAYS SICK LEAVE DUE TO INFLUENZA.",False,"2018-10-22"
"employee1818","9","LBM called up medical and ofc adv",True,"2018-10-26"
"employee2762","9","Due to accident",False,"2018-10-26"
"employee2762","9","Due to accident",False,"2018-10-27"
"employee2762","9","Due to accident",False,"2018-10-28"
"employee805","9","E/L- Had to attend to urgent family matters.",False,"2018-10-21"
"employee805","9","E/L- Had to attend to urgent family matters.",False,"2018-10-22"
"employee3182","9","Overfatigue, Flu and Extreme Cough",False,"2018-10-22"
"employee3182","9","Overfatigue, Flu and Extreme Cough",False,"2018-10-23"
"employee185","9","EL due to accident",False,"2018-10-26"
"employee185","9","EL due to accident",False,"2018-10-27"
"employee185","9","EL due to accident",False,"2018-10-28"
"employee185","9","EL due to accident",False,"2018-10-29"
"employee203","9","AVAIL VL",True,"2018-11-05"
"employee2713","9","S/L DUE SYSTEMIC VIRAL INFECTION.",False,"2018-10-29"
"employee2479","9","TENSION HEADACHE with medcert",True,"2018-10-28"
"employee50","9","dfa passport renewal",False,"2018-10-26"
"employee508","9","ADVC BY DR TO REST FOR 7 DAYS DUE VIRAL EXANTHEM",True,"2018-10-20"
"employee508","9","ADVC BY DR TO REST FOR 7 DAYS DUE VIRAL EXANTHEM",True,"2018-10-21"
"employee508","9","ADVC BY DR TO REST FOR 7 DAYS DUE VIRAL EXANTHEM",True,"2018-10-22"
"employee508","9","ADVC BY DR TO REST FOR 7 DAYS DUE VIRAL EXANTHEM",True,"2018-10-23"
"employee508","9","ADVC BY DR TO REST FOR 7 DAYS DUE VIRAL EXANTHEM",True,"2018-10-24"
"employee425","9","GOING TO SINGAPORE WITH CONFIRMED PLANE TICKET",True,"2018-11-14"
"employee425","9","GOING TO SINGAPORE WITH CONFIRMED PLANE TICKET",True,"2018-11-16"
"employee425","9","GOING TO SINGAPORE WITH CONFIRMED PLANE TICKET",True,"2018-11-17"
"employee2742","9","PROCESSED IMPORTANT DOCUMENTS",False,"2018-10-25"
"employee2742","9","PROCESSED IMPORTANT DOCUMENTS",False,"2018-10-26"
"employee2742","9","PROCESSED IMPORTANT DOCUMENTS",False,"2018-10-27"
"employee2742","9","PROCESSED IMPORTANT DOCUMENTS",False,"2018-10-28"
"employee1745","9","Fever
Cleared At Sky Medical at October 23, 2018",True,"2018-10-21"
"employee795","9","SICKLEAVE DUE FEVER",True,"2018-10-23"
"employee795","9","SICKLEAVE DUE FEVER",True,"2018-10-24"
"employee795","9","SICKLEAVE DUE FEVER",True,"2018-10-25"
"employee795","9","SICKLEAVE DUE FEVER",False,"2018-10-28"
"employee202","9","EL WITHOUT PAY DUE MY SISTER GOT SICK & CONFINED",False,"2018-10-21"
"employee2808","9","DYSMENORRHEA AND HEADACHE",False,"2018-10-20"
"employee2811","9","MAY 2 YRS OLD CHILD  WAS SICK",False,"2018-10-21"
"employee822","9","DUE FAMILY MATTER",False,"2018-10-23"
"employee822","9","DUE FAMILY MATTER",False,"2018-10-24"
"employee826","9","FATHERS DEATH ANNIV. RELIEVER FRANK CATALLA",False,"2018-10-29"
"employee175","9","Process my docs.for my personal purposes..",True,"2018-10-25"
"employee2573","9","FAMILY MATTERS",False,"2018-10-26"
"employee823","4.5","E/L;TAKE CARE MY SICK WIFE...SUBMIT MEDICAL CERT..",False,"2018-10-21"
"employee823","4.5","E/L;TAKE CARE MY SICK WIFE...SUBMIT MEDICAL CERT..",False,"2018-10-22"
"employee823","4.5","E/L;TAKE CARE MY SICK WIFE...SUBMIT MEDICAL CERT..",False,"2018-10-23"
"employee823","4.5","E/L;TAKE CARE MY SICK WIFE...SUBMIT MEDICAL CERT..",False,"2018-10-24"
"employee823","4.5","E/L;TAKE CARE MY SICK WIFE...SUBMIT MEDICAL CERT..",False,"2018-10-25"
"employee2736","9","VL W/ RLVR CSA CEL & SAF NTD BY SIR LEM",False,"2018-11-19"
"employee2736","9","VL W/ RLVR CSA CEL & SAF NTD BY SIR LEM",False,"2018-11-20"
"employee145","9","VACATION OUT OF TOWN",True,"2018-11-11"
"employee145","9","VACATION OUT OF TOWN",False,"2018-11-12"
"employee145","9","VACATION OUT OF TOWN",False,"2018-11-13"
"employee1738","9","My grandmothers 75th birthday. Family Reunion.",True,"2018-11-04"
"employee1955","9","observe holiday",False,"2018-11-01"
"employee467","9","flu",True,"2018-10-29"
"employee3164","9","SICK LEAVE / FEVER FOR TWO DAYS..",True,"2018-10-26"
"employee3164","9","SICK LEAVE / FEVER FOR TWO DAYS..",True,"2018-10-27"
"employee21","9","Personal",False,"2018-10-25"
"employee55","9","personal matter",True,"2018-10-30"
"employee1691","9","Personal VL",True,"2018-12-28"
"employee1691","9","Personal VL",True,"2018-12-29"
"employee1691","9","Holiday leave",False,"2018-12-30"
"employee3223","9","personal matter to attend to",True,"2018-11-05"
"employee3223","9","personal matter to attend to",True,"2018-11-06"
"employee662","9","BRONCHIAL ASTHMA",True,"2018-10-28"
"employee3238","4.5","due Rheumatic Fever Treatment
ref.# 1810831",True,"2018-10-26"
"employee3238","4.5","due Rheumatic Fever Treatment
ref.# 1810831",False,"2018-10-26"
"employee616","9","EL CHARGED TO VL 
ATTENDED FAMILY MATTER",True,"2018-10-27"
"employee3148","9","RUSH TO ER",True,"2018-10-30"
"employee664","9","fever",True,"2018-10-25"
"employee664","9","fever",True,"2018-10-26"
"employee644","9","headache",True,"2018-10-25"
"employee1939","4.5","family matters",True,"2018-10-28"
"employee1939","4.5","family matters",False,"2018-10-28"
"employee705","9","E/L CHARGE TO V/L",True,"2018-10-21"
"employee705","9","E/L CHARGE TO V/L",False,"2018-10-22"
"employee99","9","Personal matter",True,"2018-10-22"
"employee703","9","VACATION LEAVE (BR: M. DELA CRUZ & J.CABRERA)",True,"2018-10-31"
"employee1775","9","DONATE OF BLOOD FOR MY RELATIVES/MEDICAL PURPOSES",True,"2018-10-24"
"employee3086","9","S/L due to dysmenorrhea",True,"2018-10-26"
"employee2441","9","EL DUE TO BODYPAIN AND VERTIGO",False,"2018-10-27"
"employee650","9","10/28-DAVID,10/29-RECTO 10/30-RECTO 10/31-SOLIMAN",False,"2018-10-30"
"employee650","9","10/28-DAVID,10/29-RECTO 10/30-RECTO 10/31-SOLIMAN",False,"2018-10-31"
"employee2613","9","family matter",False,"2018-10-25"
"employee2196","9","EL DUE TO FAMILY MATTERS",False,"2018-10-23"
"employee2472","9","DUE TO PERSONAL MATTER",False,"2018-10-21"
"employee2472","9","V/L BR: J.M. CABACABA",False,"2018-10-28"
"employee1401","9","Partial leave B/R Mr.B.Gaum and Mr.D.Ovejas",True,"2018-11-03"
"employee1401","9","Partial leave B/R Mr.B.Gaum and Mr.D.Ovejas",True,"2018-11-04"
"employee1463","9","USED MY REMAIN V/L BODY
RPCMENT MR.CANJAYON",True,"2018-11-04"
"employee1463","9","USED MY REMAIN V/L BODY
RPCMENT MR.CANJAYON",True,"2018-11-05"
"employee1463","9","USED MY REMAIN V/L BODY
RPCMENT MR.CANJAYON",True,"2018-11-06"
"employee1765","9","B/R; JM QUILATAN DAY OFF DUTY",True,"2018-11-03"
"employee1765","9","B/R; JM QUILATAN DAY OFF DUTY",True,"2018-11-04"
"employee1765","9","B/R;J.DE LEON DAY OFF DUTY",True,"2018-11-05"
"employee2129","9","EL DUE TO FAMILY MATTER.",False,"2018-10-18"
"employee2129","9","EL DUE TO FAMILY MATTER.",False,"2018-10-19"
"employee2192","9","COMPLETE REQUIREMENTS FOR TRANSFER OF OUR HOUSE",False,"2018-10-27"
"employee2448","9","LBM DP: 10/28",False,"2018-10-22"
"employee1673","9","LBM DP: 10/30",True,"2018-10-26"
"employee2562","9","FEVER DP: 10/29",False,"2018-10-27"
"employee2284","9","DYSMENORRHEA DP: 10/30",False,"2018-10-28"
"employee2414","9","B/R MS NESTLE ESQUINAS",False,"2018-10-20"
"employee2414","9","B/R MR. R. SUDLON URGENT BUSINESS MATTER",False,"2018-10-25"
"employee1400","9","Attend important matters",True,"2018-11-05"
"employee1400","9","Attend important matters",True,"2018-11-06"
"employee2301","9","ABDOMINAL DISCOMFORT PREGNANCY DP: 10/30",False,"2018-10-29"
"employee1522","9","UTI DP: 10/30",True,"2018-10-29"
"employee506","9","Sick leave",True,"2018-10-30"
"employee2186","9","FAMILY PROBLEMS.",False,"2018-10-20"
"employee2186","9","FAMILY EMERGENCY. HELPING MY AUNTIE RENTAL TRANSFE",False,"2018-10-23"
"employee2186","9","FAMILY EMERGENCY. PICK UP MY COUSIN AT THE AIRPORT",False,"2018-10-27"
"employee1175","9","PERSONAL MATTER",True,"2018-11-05"
"employee2102","9","scheduled vacation leave",True,"2018-11-08"
"employee2102","9","scheduled vacation leave",True,"2018-11-09"
"employee2102","9","scheduled vacation leave",True,"2018-11-12"
"employee2102","9","scheduled vacation leave",True,"2018-11-13"
"employee3117","9","VACATION LEAVE",True,"2018-11-03"
"employee3117","9","VACATION LEAVE",True,"2018-11-04"
"employee3173","4.5","Vacation leave (half-day leave)",False,"2018-11-02"
"employee3173","9","Vacation leave",True,"2018-11-03"
"employee3158","9","Hyperacidity",True,"2018-10-30"
"employee1992","9","COUGH",True,"2018-10-29"
"employee1871","9","Partial Vacation Leave
Sup. on Duty J. Partosa",True,"2018-11-03"
"employee2192","9","DUE TO FLU",False,"2018-10-17"
"employee2192","9","DUE TO FLU",False,"2018-10-20"
"employee2646","9","PALPITATIONS/PANIC ATTACKS",False,"2018-10-28"
"employee2646","9","PALPITATIONS/PANIC ATTACKS",False,"2018-10-29"
"employee2473","9","TO AVAIL ONE DAY UNUSED V/L",True,"2018-11-04"
"employee2094","9","e/l unable to take flt fm bcd due flt fully book",False,"2018-10-30"
"employee128","9","Took care of my sick father, 84 yrs old (COPD)",False,"2018-10-16"
"employee128","9","Took care of my sick father, 84 yrs old (COPD)",False,"2018-10-17"
"employee128","9","Attended to my sick father, 84 yrs old with COPD",False,"2018-10-20"
"employee128","9","Attended to my sick father, 84 yrs old with COPD",False,"2018-10-21"
"employee128","9","Attended to my sick father, 84 yrs old with COPD",False,"2018-10-22"
"employee128","9","Attended to my sick father, 84 yrs old with COPD",False,"2018-10-23"
"employee128","9","Attended to my sick father, 84 yrs old with COPD",False,"2018-10-24"
"employee181","9","Sent home by Sky Dr due back pain caused by fall.",True,"2018-10-28"
"employee3097","9","Stayed with my sick grandmother.",False,"2018-10-30"
"employee1730","9","FAMILY MATTER",True,"2018-11-06"
